URL,Title,Address
https://newyork.craigslist.org/brk/egr/d/new-luxury-artistic-flower/6626593356.html,NEW Luxury Artistic Flower Shop Seeks F/T Florist/Operations Manager,Brooklyn
https://newyork.craigslist.org/mnh/egr/d/senior-project-architect/6626591589.html,Senior Project Architect/ Project Manager,Midtown East
https://newyork.craigslist.org/mnh/egr/d/russian-speaking-engineer/6626536372.html,RUSSIAN-SPEAKING ENGINEER,Downtown
https://newyork.craigslist.org/brx/egr/d/project-manager-steel-company/6626523256.html,Project Manager: Steel Company with NYC projects,NYC
https://newyork.craigslist.org/brk/egr/d/structural-engineer-pe/6626506251.html,Structural Engineer P.E.,
https://newyork.craigslist.org/mnh/egr/d/project-architect-for/6626481899.html,Project Architect for boutique office,Chelsea
https://newyork.craigslist.org/brk/egr/d/architectural-drafting-person/6626360490.html,Architectural  drafting person,
https://newyork.craigslist.org/brx/egr/d/construction-project-manager/6626355759.html,Construction Project Manager / Estimator,Mount Vernon
https://newyork.craigslist.org/wch/egr/d/construction-estimator-needed/6626322102.html,Construction Estimator Needed,Mount Vernon
https://newyork.craigslist.org/mnh/egr/d/senior-project-architect/6626292744.html,Senior Project Architect (Associate),
https://newyork.craigslist.org/mnh/egr/d/it-support-specialist-cad/6626263104.html,IT Support Specialist / CAD Specialist,Flatiron
https://newyork.craigslist.org/stn/egr/d/architect-full-time-immediate/6624814792.html,Architect -Full Time-Immediate Hire,Staten Island
https://newyork.craigslist.org/que/egr/d/construction-admin-needed/6624614995.html,Construction Admin needed,
https://newyork.craigslist.org/mnh/egr/d/project-architect/6624298957.html,Project architect,
https://newyork.craigslist.org/mnh/egr/d/junior-lighting-designer/6623962844.html,Junior Lighting Designer - Residential,Harlem / Morningside
https://newyork.craigslist.org/que/egr/d/civil-engineer-heavy-civil/6623945305.html,Civil Engineer - Heavy Civil (Nassau County),NYC and LI
https://newyork.craigslist.org/que/egr/d/look-for-part-time-nys-pe/6623931418.html,Look for a part-time NYS PE,
https://newyork.craigslist.org/brk/egr/d/field-engineer-assistant/6623700659.html,FIELD ENGINEER/ASSISTANT SUPERINTENDENT,BROOKLYN
https://newyork.craigslist.org/fct/egr/d/assnt-project-manager/6623660981.html,assnt project manager,ffld cnty
https://newyork.craigslist.org/wch/egr/d/office-engineer/6623345287.html,Office Engineer,"Westchester County, NY"
https://newyork.craigslist.org/brk/egr/d/structural-engineer-for/6623279683.html,Structural Engineer for Facades/Curtainwall,
https://newyork.craigslist.org/brk/egr/d/drafter-wanted-full-time/6623127478.html,Drafter wanted - full time,Greenpoint/Brooklyn
https://newyork.craigslist.org/brk/egr/d/architectural-metal-cost/6623101745.html,Architectural Metal Cost Estimator,East Williamsburg
https://newyork.craigslist.org/mnh/egr/d/junior-architect-3-years/6622982399.html,Junior Architect (3+ years experience),Chelsea
https://newyork.craigslist.org/mnh/egr/d/architect-assistant/6622951515.html,Architect Assistant,Midtown
https://newyork.craigslist.org/wch/egr/d/landscape-assistant-estimator/6622440903.html,Landscape - Assistant Estimator / Designer,"Armonk, NY"
https://newyork.craigslist.org/brk/egr/d/dental-cad-cam-technician/6622376909.html,Dental Cad Cam Technician,
https://newyork.craigslist.org/que/egr/d/summer-office-help/6622267700.html,SUMMER OFFICE HELP,ASTORIA
https://newyork.craigslist.org/mnh/egr/d/project-architect-high-end/6622216043.html,Project Architect (High-end Retail & Hospitality),Flatiron
https://newyork.craigslist.org/brk/egr/d/furniture-designer/6622179366.html,Furniture Designer,Brooklyn
https://newyork.craigslist.org/wch/egr/d/landscape-designer-project/6622133381.html,Landscape Designer/Project Manager,Mamaroneck
https://newyork.craigslist.org/mnh/egr/d/project-supervisor-40-50k/6622082458.html,Project Supervisor -- $40-50k,TriBeCa
https://newyork.craigslist.org/mnh/egr/d/midtown-architecture-office/6622066460.html,Midtown Architecture Office searching for entry level candidate,
https://newyork.craigslist.org/que/egr/d/architectural-drafter-needed/6621928781.html,Architectural Drafter Needed for Immediate Hire,Queens
https://newyork.craigslist.org/brk/egr/d/architectural-drafter-needed/6621836012.html,Architectural Drafter Needed for Immediate Hire,Brooklyn
https://newyork.craigslist.org/jsy/egr/d/project-manager-engineer/6621572045.html,Project Manager/ Engineer - Contemporary Furniture Manufacturer,jersey city
https://newyork.craigslist.org/brk/egr/d/architecture-interiors-firm/6621458472.html,Architecture & Interiors Firm seeks Junior Architect,Brooklyn
https://newyork.craigslist.org/mnh/egr/d/senior-architectural-designer/6621411376.html,Senior Architectural Designer,Chelsea
https://newyork.craigslist.org/brk/egr/d/structural-engineer-pe/6621363040.html,Structural Engineer P.E.,
